name,strasse_nr,plz,angebot,lieferung,beschreibung_lieferangebot,selbstabholung,angebot_selbstabholung,fon,w3,mail,art,montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag,lon,lat,unique_id
Foodlocker,Freiheit 15,12555,Burger,FALSCH,,WAHR,ellungen zum Abholen müssen uns spätestens bis 15:00 Uhr am vorherigen Tag erreichen.,+491785531709,,Friedrichalex@icloud.com,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,"13,5767111","52,4475965",1
Meta Mate,Strassburgerstraße 16,10405,Mate Tee & Gemischt Mate Brause boxes zu mitnehmen und trocken Bio Lebensmittel.,FALSCH,,WAHR,,+4915233738308,https://www.metamate.cc,info@metamate.cc,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-16:00,,"13,4149894","52,5306407",2
Domino`s Pizza Kreuzberg Nord,Oranienstraße 52,10969,"Pizza, Pasta, Salate, Fingerfood",WAHR,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,WAHR,kontaklose Abholung bei online Bestellung über www.dominos.de,+493027017120,https://www.dominos.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-24:00,11:00-24:00,11:00-23:00,"13,4126199","52,50329",3
Kernvoll GmbH,Samariterstraße 34,10247,veganes Bio-Catering,WAHR,Lieferung und Abholung von mehrtägigen privaten Bio-Catering jeden Montag und Donnerstag für 3 Tage / zudem jeden Mittwoch (12-14 und 17-20 Uhr) ein Abholspecial für April 2020,WAHR,jeden Mittwoch von 12-14 und 17-20 Uhr auf Email-Bestellung / 3 Tagesmenü kann auch an jedem Montag und Donnerstag abgeholt werden,+493055467368,https://www.kernvoll.de,kontakt@kernvoll.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",14:00-18:00,,12:00-14:00 & 17:00-20:00,14:00-18:00,,,,"13,4648046","52,5161227",4
Domino`s Kreuzberg Süd,Brachvogelstraße 1,10961,"Pizza, Pasta, Salate, Fingerfood",WAHR,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,WAHR,kontaktlose Abholung. Bestellung über www.dominos.de,+49306921111,https://www.dominos.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-24:00,11:00-24:00,11:00-23:00,"13,39804","52,49538",5
Domino`s Berlin Lichterfelde,Hindenburgdamm 3,12203,"Pizza, Pasta, Salate, Fingerfood",WAHR,nsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,WAHR,kontaklose Abholung. Bestellung über www.dominos.de,+493081030466,https://www.dominos.de,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,"13,3109677","52,4322933",6
Çi?köftem,Badstraße 4,13357,"Cigköfte,içli köfte,falafel",FALSCH,,FALSCH,,+491607661461,https://www.cigkoftemberlin.de,info@cigkoftemberlin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,"13,3879517","52,549678",7
BEB SO CATERING,Gertrud Kolmar str 4,10117,Konferenz Service Finger Food,FALSCH,,FALSCH,,+491723812093,,,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,3813796","52,5122015",8
papaya in der kantstraße,Kantstraße 122,10625,thai-isaan cuisine,WAHR,,WAHR,,+493031997572,https://www.papaya-service.de,togo-kant@papaya-restaurants.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,"13,3105589","52,5062391",9
Weinmagasin,Breisgauer Straße 11,14129,Weine und Pasta Abholung und Lieferung,FALSCH,,WAHR,Weine und Pasta mit div. Saucen,+49308021100,https://www.weinmagasin.de,info@weinmagasin.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",11:00-14:00,,,,,,,"13,2161406","52,4377436",10
McDonalds Berlin-Alt Mahlsdorf,Alt-Mahlsdorf 59,12623,Burger / Pommes/ Shake und mehr,FALSCH,,WAHR,McDrive von 10:00 - 22:00 Uhr,+493056701170,,info@mcdonalds-xo.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,"13,6238732","52,5039403",11
Misir Carsisi,Skalitzerstraße134,10999,Türkische Küche,WAHR,10999,WAHR,11-21 Uhr,+491627676557,https://www.misircarsisi.de,aktuerk21@hotmail.de,"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)",,,,,,,,"13,4187919","52,4993725",12
